[2025-07-30 08:43:18.221547] [ALLOWED] 172.3.0.197:49776 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:18.324159] [ALLOWED] 172.3.0.177:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:18.426384] [ALLOWED] 172.3.0.198:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:18.529005] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:18.529618] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:18.530079] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:18.530587] [ALLOWED] 172.3.0.202:53370 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:18.835658] [ALLOWED] 172.3.0.202:53370 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:19.041622] [ALLOWED] 172.3.0.199:51782 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:19.143364] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:19.143991] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:19.144473] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:19.246324] [ALLOWED] 172.3.0.85:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:19.715703] [ALLOWED] 172.3.0.182:50006 -> 40.126.18.33:443 | Proto: 6
[2025-07-30 08:43:19.718932] [ALLOWED] 40.126.18.33:443 -> 172.3.0.182:50006 | Proto: 6
[2025-07-30 08:43:19.760528] [ALLOWED] 172.3.0.158:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:19.763317] [ALLOWED] 172.16.16.16:8090 -> 172.3.0.182:49962 | Proto: 6
[2025-07-30 08:43:19.763847] [ALLOWED] 172.3.0.182:49962 -> 172.16.16.16:8090 | Proto: 6
[2025-07-30 08:43:19.963494] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:19.964470] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:19.965014] [ALLOWED] 172.3.0.202:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:19.965523] [ALLOWED] 172.3.0.199:51782 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:20.269508] [ALLOWED] 172.3.0.200:1900 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:20.270150] [ALLOWED] 172.3.0.176:49659 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:20.679597] [ALLOWED] 172.3.0.202:52913 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:20.781236] [ALLOWED] 172.3.0.192:61563 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:21.089064] [ALLOWED] 172.3.0.168:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:21.089745] [ALLOWED] 172.3.0.168:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:21.090206] [ALLOWED] 172.3.0.199:56583 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:22.113452] [ALLOWED] 172.3.0.168:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:22.114969] [ALLOWED] 172.3.0.176:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:22.164353] [ALLOWED] 172.3.0.182:49985 -> 150.171.28.11:443 | Proto: 6
